id,name,latitude,longitude
site_5094,"SIDCO Kurichi, Coimbatore - TNPCB",10.942451,76.978996
site_5261,"Muradpur, Patna - BSPCB",25.619651,85.147382
site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB",28.2068,76.7997
site_5072,"Rishi Nagar, Kaithal - HSPCB",29.8006,76.4155
site_163,"Peenya, Bengaluru - CPCB",13.0270199,77.494094
site_5613,"Transport Nagar, Moradabad - UPPCB",28.802625,78.753728
site_5123,"Sector-1, Noida - UPPCB",28.5898,77.3101
site_1433,"Bandhavgar Colony, Satna - Birla Cement",24.58434363,80.8549414
site_5413,"Mulund West, Mumbai - MPCB",19.175,72.9419
site_5050,"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667
site_5448,"B.Katihalli, Hassan - KSPCB",13.008556,76.125258
site_5590,"Zero Point GICI, Gangtok - SSPCB",27.33853,88.614099
site_5396,"Deonar, Mumbai - IITM",19.04946,72.923
site_1565,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",17.321993,76.822628
site_5056,"Police Lines, Jind - HSPCB",29.307814,76.337619
site_5131,"Lumpyngngad, Shillong - Meghalaya PCB",25.5586,91.8985
site_272,"Kendriya Vidyalaya, Lucknow - CPCB",26.906111,80.948222
site_1555,"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901
site_5418,"Naubad, Bidar - KSPCB",17.930306,77.482194
site_5345,"Sector-51, Gurugram - HSPCB",28.4227,77.0667
site_5331,"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865
site_5047,"H.B. Colony, Bhiwani - HSPCB",28.806223,76.141105
site_5124,"Urban, Chamarajanagar - KSPCB",11.55358,76.55521
site_147,"MD University, Rohtak - HSPCB",28.52123,76.37138
site_5468,"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408
site_119,"Sirifort, Delhi - CPCB",28.5504249,77.2159377
site_5390,"Corporation Ground, Thrissur - Kerala PCB",10.5324,76.2159
site_5503,"Mangala, Bilaspur - NTPC",22.08815,82.13737
site_5628,"Civil Lines, Bareilly - UPPCB",28.359581,79.414455
site_1549,"Hardev Nagar, Bathinda - PPCB",30.233011,74.907758
site_5625,"Chalai Bazaar, Ramanathapuram - TNPCB",9.36399,78.831977
site_5395,"Lodhi Road, Delhi - IITM",28.588333,77.221667
site_5045,"Arya Nagar, Bahadurgarh - HSPCB",28.6701,76.9254
site_5115,"Worli, Mumbai - MPCB",18.9936162,72.8128113
