name,state,city
"Secretariat, Amaravati - APPCB",Andhra Pradesh,Amaravati
"Gulzarpet, Anantapur - APPCB",Andhra Pradesh,Anantapur
"Gangineni Cheruvu, Chittoor - APPCB",Andhra Pradesh,Chittoor
"Yerramukkapalli, Kadapa - APPCB",Andhra Pradesh,Kadapa
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Andhra Pradesh,Rajamahendravaram
"Tirumala, Tirupati - APPCB",Andhra Pradesh,Tirupati
"Vaikuntapuram, Tirupati - APPCB",Andhra Pradesh,Tirupati
"Kanuru, Vijayawada - APPCB",Andhra Pradesh,Vijayawada
"GVM Corporation, Visakhapatnam - APPCB",Andhra Pradesh,Visakhapatnam
"Naharlagun, Naharlagun - APSPCB",Arunachal Pradesh,Naharlagun
"Central Academy for SFS, Byrnihat - PCBA",Assam,Byrnihat
"IITG, Guwahati - PCBA",Assam,Guwahati
"LGBI Airport, Guwahati - PCBA",Assam,Guwahati
"Pan Bazaar, Guwahati - PCBA",Assam,Guwahati
"Railway Colony, Guwahati - PCBA",Assam,Guwahati
"Christianpatty, Nagaon - PCBA",Assam,Nagaon
"Bata Chowk, Nalbari - PCBA",Assam,Nalbari
"Tarapur, Silchar - PCBA",Assam,Silchar
"Girls College, Sivasagar - PCBA",Assam,Sivasagar
"Kharahiya Basti, Araria - BSPCB",Bihar,Araria
"New DM Office, Arrah - BSPCB",Bihar,Arrah
"Gurdeo Nagar, Aurangabad - BSPCB",Bihar,Aurangabad
"DRCC Anandpur, Begusarai - BSPCB",Bihar,Begusarai
"Kamalnath Nagar, Bettiah - BSPCB",Bihar,Bettiah
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bihar,Bhagalpur
"Mayaganj, Bhagalpur - BSPCB",Bihar,Bhagalpur
"D M Colony, Bihar Sharif - BSPCB",Bihar,Bihar Sharif
"Central Jail, Buxar - BSPCB",Bihar,Buxar
"Darshan Nagar, Chhapra - BSPCB",Bihar,Chhapra
"Town Hall - Lal Bagh, Darbhanga - BSPCB",Bihar,Darbhanga
"Collectorate, Gaya - BSPCB",Bihar,Gaya
"Kareemganj, Gaya - BSPCB",Bihar,Gaya
"SFTI Kusdihra, Gaya - BSPCB",Bihar,Gaya
"Industrial Area, Hajipur - BSPCB",Bihar,Hajipur
"Mirchaibari, Katihar - BSPCB",Bihar,Katihar
"SDM Office_Khagra, Kishanganj - BSPCB",Bihar,Kishanganj
"Forest Rest House, Manguraha - BSPCB",Bihar,Manguraha
"Gandak Colony, Motihari - BSPCB",Bihar,Motihari
"Town Hall, Munger - BSPCB",Bihar,Munger
"Buddha Colony, Muzaffarpur - BSPCB",Bihar,Muzaffarpur
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Bihar,Muzaffarpur
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Bihar,Muzaffarpur
"DRM Office Danapur, Patna - BSPCB",Bihar,Patna
"Govt. High School Shikarpur, Patna - BSPCB",Bihar,Patna
"IGSC Planetarium Complex, Patna - BSPCB",Bihar,Patna
"Muradpur, Patna - BSPCB",Bihar,Patna
"Rajbansi Nagar, Patna - BSPCB",Bihar,Patna
"Samanpura, Patna - BSPCB",Bihar,Patna
"Mariam Nagar, Purnia - BSPCB",Bihar,Purnia
"Dangi Tola, Rajgir - BSPCB",Bihar,Rajgir
"Police Line, Saharsa - BSPCB",Bihar,Saharsa
"DM Office_Kasipur, Samastipur - BSPCB",Bihar,Samastipur
"Dada Peer, Sasaram - BSPCB",Bihar,Sasaram
"Chitragupta Nagar, Siwan - BSPCB",Bihar,Siwan
"Sector 22, Chandigarh - CPCC",Chandigarh,Chandigarh
"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh
"Sector-53, Chandigarh - CPCC",Chandigarh,Chandigarh
"32Bungalows, Bhilai - CECB",Chhattisgarh,Bhilai
"Civic Center, Bhilai - Bhilai Steel Plant",Chhattisgarh,Bhilai
"Hathkhoj, Bhilai - CECB",Chhattisgarh,Bhilai
"Mangala, Bilaspur - NTPC",Chhattisgarh,Bilaspur
"Nawapara SECL Colony, Chhal - CECB",Chhattisgarh,Chhal
"Rampur, Korba - CECB",Chhattisgarh,Korba
"Urja Nagar, Korba - CECB",Chhattisgarh,Korba
"OP Jindal School, Kunjemura - CECB",Chhattisgarh,Kunjemura
"Govt. Higher Secondary School, Milupara - CECB",Chhattisgarh,Milupara
"AIIMS, Raipur - CECB",Chhattisgarh,Raipur
"Bhatagaon New ISBT, Raipur - CECB",Chhattisgarh,Raipur
"Krishak Nagar, Raipur - CECB",Chhattisgarh,Raipur
"Siltara Phase-II, Raipur - CECB",Chhattisgarh,Raipur
"OP Jindal Industrial Park, Tumidih - CECB",Chhattisgarh,Tumidih
"Alipur, Delhi - DPCC",Delhi,Delhi
"Anand Vihar, Delhi - DPCC",Delhi,Delhi
"Ashok Vihar, Delhi - DPCC",Delhi,Delhi
"Aya Nagar, Delhi - IMD",Delhi,Delhi
"Bawana, Delhi - DPCC",Delhi,Delhi
"Burari Crossing, Delhi - IMD",Delhi,Delhi
"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi
"Chandni Chowk, Delhi - IITM",Delhi,Delhi
"DTU, Delhi - CPCB",Delhi,Delhi
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi
"Dwarka-Sector 8, Delhi - DPCC ",Delhi,Delhi
