Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,8,30,26,10,28,11,NA,NA,9,31
2020,31,25,27,10,NA,13,24,31,30,31,30,31
2019,31,28,31,30,31,30,31,31,30,30,30,31
2018,31,28,31,30,31,30,31,31,30,31,30,31
2017,31,12,30,17,8,13,9,5,12,31,30,31
2016,31,25,30,30,31,29,31,31,30,30,30,31
2015,NA,NA,NA,NA,NA,30,31,31,28,26,30,31
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,13,NA,7,14,10,30,31,29,28,20,3,NA
2012,NA,NA,NA,NA,NA,26,22,30,14,24,25,23
