Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,30,28,31,27,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,29,31,30,31
2021,31,28,31,30,31,26,31,31,30,31,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,28,31,30,31,30,31,31,30,31,30,31
2018,31,28,31,28,31,30,31,31,30,25,30,31
2017,1,NA,NA,NA,NA,NA,NA,2,25,31,30,31
2016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2015,31,28,31,30,1,NA,NA,NA,30,30,30,2
2014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2010,NA,NA,NA,NA,NA,NA,NA,16,30,1,NA,1
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
