Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,28,31,28,31,30,31,31,30,31,30,31
2018,31,27,31,30,31,30,31,31,29,31,30,31
2017,31,28,23,NA,NA,NA,NA,NA,4,14,30,31
2016,NA,NA,NA,NA,NA,4,30,30,27,30,30,30
2015,31,25,30,30,31,30,31,31,29,30,7,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,13,26,23,31
2013,25,28,25,19,NA,2,NA,NA,NA,11,7,NA
2012,16,28,30,24,21,1,18,30,25,31,25,22
2011,13,16,25,13,15,24,13,20,24,23,18,11
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,2
