Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,16,26,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,30,30,25,31,30,31
2021,31,28,29,30,28,30,20,30,30,30,30,31
2020,25,29,31,30,28,30,30,30,29,31,28,31
2019,NA,27,31,30,31,30,30,28,30,29,27,31
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
