Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,10,22,NA,NA,NA,NA,NA,NA,NA,NA
2022,29,26,31,30,25,21,28,31,23,28,30,31
2021,30,28,31,30,30,30,31,31,30,31,30,31
2020,31,29,31,30,31,30,31,30,30,31,30,31
2019,26,24,30,30,31,30,31,31,30,31,30,28
2018,31,28,31,30,31,30,31,31,30,31,30,31
2017,31,28,31,30,31,29,31,28,27,31,30,31
2016,24,29,30,27,31,30,31,31,30,31,30,31
2015,31,27,31,30,31,30,31,31,30,31,30,30
2014,19,28,31,30,31,30,22,30,30,31,30,31
2013,18,28,26,17,31,29,30,30,28,23,28,31
2012,31,26,25,26,17,20,23,31,26,20,24,NA
2011,31,26,25,30,26,30,31,31,30,31,30,31
2010,NA,NA,NA,NA,NA,NA,NA,2,18,26,23,27
