Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,23,28,31,30,31,30,31,29,30,30,29,31
2021,31,28,31,30,31,30,31,31,24,14,26,31
2020,31,29,31,30,31,30,31,26,28,31,30,31
2019,31,28,30,30,31,30,31,31,30,19,30,31
2018,23,28,31,30,31,28,31,30,30,31,30,31
2017,31,28,31,29,27,30,31,29,30,31,17,NA
2016,31,29,31,30,31,15,29,30,30,31,30,31
2015,20,28,26,30,31,30,31,31,30,31,30,30
2014,31,28,31,30,31,30,31,31,30,31,12,30
2013,31,28,31,30,23,27,31,31,30,28,30,31
2012,31,29,31,30,22,30,31,31,30,27,30,28
2011,31,28,31,9,30,30,30,31,30,30,30,31
2010,29,28,25,26,31,30,31,16,30,31,30,31
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
