Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,30,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,27,27,31,30,31,30,28,15,29,31,30,29
2021,29,26,31,16,13,30,27,30,30,31,30,31
2020,29,27,NA,23,31,30,28,31,30,29,30,30
2019,31,26,24,28,21,25,31,31,30,30,30,26
2018,NA,NA,NA,NA,NA,NA,26,7,NA,1,16,31
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
