Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,25,26,30,14,NA,NA,NA,NA,NA,NA,NA,NA
2022,30,27,30,26,27,1,NA,2,NA,13,30,27
2021,30,28,31,29,3,1,30,31,30,31,27,29
2020,30,28,29,21,23,28,29,28,30,30,29,30
2019,12,15,16,17,4,14,26,25,12,30,21,31
2018,NA,NA,NA,NA,NA,12,22,15,17,27,10,7
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
