Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,31,20,18,30,31,30,31,31,30,24,30,24
2020,31,29,29,30,31,27,28,27,30,28,29,31
2019,31,28,31,30,31,30,29,30,30,31,30,31
2018,31,28,31,24,26,30,31,31,30,29,28,31
2017,31,28,31,30,31,30,31,31,30,31,30,31
2016,31,29,31,30,31,22,31,31,30,31,30,31
2015,31,28,31,30,31,30,31,31,30,31,30,31
2014,31,28,31,30,31,30,31,31,30,31,30,31
2013,31,28,31,30,31,30,31,31,30,31,30,31
2012,31,29,31,30,31,30,31,31,30,30,30,31
2011,31,28,31,30,31,30,31,31,30,31,30,31
2010,31,28,31,30,31,30,31,31,30,31,30,31
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
