Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,27,29,31,9,NA,NA,NA,NA,NA,NA,NA,NA
2019,31,28,31,30,21,30,31,29,30,31,3,20
2018,31,28,31,30,31,20,22,28,30,30,30,31
2017,31,28,31,30,31,30,31,30,30,31,30,30
2016,31,29,31,30,31,29,31,31,30,31,30,31
2015,31,28,31,29,31,30,31,31,30,31,30,31
2014,31,28,31,30,31,30,14,NA,11,31,30,31
2013,5,10,8,17,31,30,31,30,29,16,21,31
2012,2,12,7,NA,9,NA,NA,4,NA,6,18,3
2011,18,NA,9,27,25,30,31,31,30,31,30,19
2010,31,28,31,30,5,17,22,30,28,28,16,12
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
