Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,25,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,26,29,28,31,30,24,31,23,16,30,31
2021,31,27,31,29,25,25,28,23,21,29,30,29
2020,31,29,23,30,19,19,20,29,29,28,30,31
2019,31,28,31,20,31,30,31,30,30,29,30,31
2018,5,27,31,30,31,27,31,30,NA,15,15,27
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
