Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,30,30,31
2021,31,28,31,30,31,29,31,31,30,30,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,28,31,30,25,27,31,20,30,31,14,31
2018,31,28,31,30,31,30,31,31,30,31,30,31
2017,31,28,30,29,31,30,31,31,30,31,30,31
2016,30,29,31,30,31,18,31,31,30,31,30,17
2015,31,27,31,30,31,30,31,31,30,31,30,27
2014,31,28,31,30,27,25,29,31,30,31,30,31
2013,25,26,29,30,31,30,31,31,30,31,28,31
2012,31,29,31,30,31,30,31,31,30,31,29,30
2011,31,28,31,30,31,30,29,31,2,22,30,29
2010,31,28,31,29,30,12,7,28,30,7,30,31
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
