Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,30,30,30,30,31
2020,27,29,31,30,31,30,30,31,30,31,30,31
2019,31,28,31,30,28,29,27,31,30,30,30,31
2018,29,28,31,30,31,30,24,26,30,31,30,31
2017,30,28,31,29,29,30,30,31,30,31,30,31
2016,25,26,27,24,31,30,31,12,NA,NA,3,27
2015,28,26,31,29,31,30,31,31,30,31,30,31
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,30,27,28,15,9,30,31,30,30,27,25,NA
2012,31,22,31,29,24,NA,17,30,30,31,30,31
2011,31,28,31,21,22,29,31,31,30,31,30,31
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,31
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
