Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,29,30,31,31,30,31,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,28,31,30,31,30,31,31,30,31,30,31
2018,31,28,31,30,31,30,31,31,30,30,30,31
2017,31,28,31,30,30,30,31,30,24,29,30,30
2016,31,28,28,28,28,30,31,31,29,31,30,31
2015,29,20,31,29,31,30,31,31,30,31,30,31
2014,NA,NA,NA,NA,NA,9,26,30,18,31,11,22
2013,30,20,30,15,18,30,30,30,25,12,28,NA
2012,31,25,26,30,20,NA,27,31,28,29,20,30
2011,31,26,29,29,28,27,26,30,29,28,24,21
2010,NA,NA,NA,NA,NA,NA,NA,NA,11,15,21,28
