Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,31,28,31,30,31,30,31,31,29,31,30,31
2020,11,NA,NA,NA,NA,16,31,31,30,31,30,30
2019,31,28,31,30,31,30,31,31,30,31,29,31
2018,NA,NA,NA,NA,NA,NA,7,31,30,30,30,31
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
