Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,27,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,30,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,31,30,31,28,30,27,30,31,30,31
2019,31,28,31,30,29,29,31,31,30,31,30,31
2018,31,28,31,30,31,30,31,31,30,29,30,31
2017,NA,NA,NA,NA,NA,NA,NA,NA,5,31,30,31
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
