Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,31,29,31,30,31,31,30,31,30,31
2019,29,28,27,30,31,29,31,31,30,29,30,31
2018,31,28,31,30,31,30,31,31,30,31,28,31
2017,31,20,31,29,31,30,31,31,30,31,30,31
2016,28,25,31,30,30,30,31,31,30,31,30,31
2015,31,28,27,29,31,30,31,31,30,31,30,31
2014,NA,NA,NA,NA,NA,2,31,31,30,31,30,31
2013,28,22,27,30,31,30,31,31,28,20,20,NA
2012,31,28,29,30,26,7,26,31,11,29,20,30
2011,20,21,30,30,30,28,27,31,21,21,18,30
2010,NA,NA,NA,NA,NA,NA,NA,NA,11,28,30,31
