Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,30,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,28,31,30,31,30,31,31,30,31,30,31
2018,31,28,31,30,31,30,31,31,30,31,30,31
2017,NA,NA,NA,NA,NA,NA,NA,NA,5,31,30,31
2016,31,29,31,30,11,15,29,31,23,29,2,NA
2015,31,28,31,30,31,30,30,31,30,31,30,31
2014,28,28,19,30,31,30,31,19,30,31,30,31
2013,31,28,31,30,31,29,30,4,29,29,30,26
2012,30,29,31,30,31,30,31,31,30,10,30,19
2011,31,28,31,30,31,30,31,22,30,31,30,31
2010,26,16,30,28,31,30,31,28,30,20,29,31
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
