Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,31,28,31,27,21,29,31,31,26,31,30,11
2020,29,26,17,3,4,29,28,16,30,31,30,31
2019,31,19,31,30,28,29,29,24,28,31,30,22
2018,31,28,31,30,31,27,30,31,30,29,30,31
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,31
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
