Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,29,NA,NA,NA,NA,NA,NA,NA,NA
2022,28,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,29,30,18,20,31,30,29,31,30,24
2020,31,29,31,30,21,30,31,31,30,31,30,31
2019,31,28,31,30,31,30,31,31,30,31,30,31
2018,31,28,31,30,31,30,31,31,24,30,30,31
2017,NA,NA,NA,NA,NA,NA,3,1,29,31,30,31
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2015,1,NA,NA,1,NA,NA,NA,NA,30,31,30,1
2014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
