Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,29,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,27,30,31,30,31
2020,31,29,31,30,30,30,31,31,30,31,30,31
2019,31,28,31,30,31,30,31,31,30,31,30,27
2018,31,28,31,21,31,30,31,31,30,31,30,31
2017,31,28,31,30,29,30,31,31,30,30,30,31
2016,31,29,29,30,29,30,31,31,26,30,30,31
2015,3,14,26,26,31,30,31,31,30,31,30,31
2014,NA,NA,NA,NA,NA,2,18,18,18,31,30,25
2013,31,28,31,19,1,28,31,31,19,20,28,NA
2012,31,29,31,30,30,30,1,NA,NA,NA,7,31
2011,23,25,26,30,29,29,23,29,29,30,29,26
2010,NA,NA,NA,NA,NA,NA,NA,NA,12,13,25,28
