,S.No.,State,City,Station Name,Current AQI value
0,1,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",79
1,2,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",78
2,3,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",70
3,4,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",Insufficient data available in last 24 hours.
4,5,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",72
5,6,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",76
6,7,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",Insufficient data available in last 24 hours.
7,8,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",Insufficient data available in last 24 hours.
8,9,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",112
9,10,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",Insufficient data available in last 24 hours.
10,11,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",387
11,12,Assam,Guwahati,"IITG, Guwahati - PCBA",312
12,13,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",Insufficient data available in last 24 hours.
13,14,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",331
14,15,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",359
15,16,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",Insufficient data available in last 24 hours.
16,17,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",Insufficient data available in last 24 hours.
17,18,Assam,Silchar,"Tarapur, Silchar - PCBA",Insufficient data available in last 24 hours.
18,19,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",44
19,20,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",Insufficient data available in last 24 hours.
20,21,Bihar,Arrah,"New DM Office, Arrah - BSPCB",386
21,22,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",406
22,23,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",421
23,24,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",470
24,25,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",432
25,26,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",418
26,27,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",Insufficient data available in last 24 hours.
27,28,Bihar,Buxar,"Central Jail, Buxar - BSPCB",Insufficient data available in last 24 hours.
28,29,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",421
29,30,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",473
30,31,Bihar,Gaya,"Collectorate, Gaya - BSPCB",379
31,32,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",457
32,33,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",265
33,34,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",313
34,35,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",455
35,36,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",302
36,37,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",171
37,38,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",360
38,39,Bihar,Munger,"Town Hall, Munger - BSPCB",Insufficient data available in last 24 hours.
39,40,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",470
40,41,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Insufficient data available in last 24 hours.
41,42,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",436
42,43,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",392
43,44,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",393
44,45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",421
45,46,Bihar,Patna,"Muradpur, Patna - BSPCB",Insufficient data available in last 24 hours.
46,47,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",434
47,48,Bihar,Patna,"Samanpura, Patna - BSPCB",431
48,49,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",445
49,50,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",455
50,51,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",Insufficient data available in last 24 hours.
51,52,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",459
52,53,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",372
53,54,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",Insufficient data available in last 24 hours.
54,55,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",Insufficient data available in last 24 hours.
55,56,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",251
56,57,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",360
57,58,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",Insufficient data available in last 24 hours.
58,59,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",Insufficient data available in last 24 hours.
59,60,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",Insufficient data available in last 24 hours.
60,61,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",Insufficient data available in last 24 hours.
61,62,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",Insufficient data available in last 24 hours.
62,63,Chhattisgarh,Korba,"Rampur, Korba - CECB",Insufficient data available in last 24 hours.
63,64,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",Insufficient data available in last 24 hours.
64,65,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",Insufficient data available in last 24 hours.
65,66,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",Insufficient data available in last 24 hours.
66,67,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",Insufficient data available in last 24 hours.
67,68,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",Insufficient data available in last 24 hours.
68,69,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",Insufficient data available in last 24 hours.
69,70,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",Insufficient data available in last 24 hours.
70,71,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",Insufficient data available in last 24 hours.
71,72,Delhi,Delhi,"Alipur, Delhi - DPCC",292
72,73,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",294
73,74,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",285
74,75,Delhi,Delhi,"Aya Nagar, Delhi - IMD",134
75,76,Delhi,Delhi,"Bawana, Delhi - DPCC",292
76,77,Delhi,Delhi,"Burari Crossing, Delhi - IMD",290
77,78,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",290
78,79,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",217
79,80,Delhi,Delhi,"DTU, Delhi - CPCB",281
80,81,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",260
81,82,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",252
82,83,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",145
83,84,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",190
84,85,Delhi,Delhi,"ITO, Delhi - CPCB",225
85,86,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",303
86,87,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",250
87,88,Delhi,Delhi,"Lodhi Road, Delhi - IITM",Insufficient data available in last 24 hours.
88,89,Delhi,Delhi,"Lodhi Road, Delhi - IMD",190
89,90,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",284
90,91,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",254
91,92,Delhi,Delhi,"Mundka, Delhi - DPCC",284
92,93,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",257
93,94,Delhi,Delhi,"Najafgarh, Delhi - DPCC",136
94,95,Delhi,Delhi,"Narela, Delhi - DPCC",291
95,96,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",319
96,97,Delhi,Delhi,"North Campus, DU, Delhi - IMD",227
97,98,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",277
98,99,Delhi,Delhi,"Patparganj, Delhi - DPCC",298
99,100,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",297
100,101,Delhi,Delhi,"Pusa, Delhi - DPCC",313
101,102,Delhi,Delhi,"Pusa, Delhi - IMD",214
102,103,Delhi,Delhi,"R K Puram, Delhi - DPCC",258
103,104,Delhi,Delhi,"Rohini, Delhi - DPCC",320
104,105,Delhi,Delhi,"Shadipur, Delhi - CPCB",270
105,106,Delhi,Delhi,"Sirifort, Delhi - CPCB",229
106,107,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",298
107,108,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",251
108,109,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",309
109,110,Delhi,Delhi,"Wazirpur, Delhi - DPCC",Insufficient data available in last 24 hours.
110,111,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",Insufficient data available in last 24 hours.
111,112,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",Insufficient data available in last 24 hours.
112,113,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",127
113,114,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",Insufficient data available in last 24 hours.
114,115,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",Insufficient data available in last 24 hours.
115,116,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",Insufficient data available in last 24 hours.
116,117,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",Insufficient data available in last 24 hours.
117,118,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Insufficient data available in last 24 hours.
118,119,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",Insufficient data available in last 24 hours.
119,120,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",134
120,121,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",Insufficient data available in last 24 hours.
121,122,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",Insufficient data available in last 24 hours.
122,123,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",88
123,124,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",41
124,125,Gujarat,Surat,"Science Center, Surat - SMC",207
125,126,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",304
126,127,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",122
127,128,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",138
128,129,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",97
129,130,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",245
130,131,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",103
131,132,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",156
132,133,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",240
133,134,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",Insufficient data available in last 24 hours.
134,135,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",163
135,136,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",Insufficient data available in last 24 hours.
136,137,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",257
137,138,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",138
138,139,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",110
139,140,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",191
140,141,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",211
141,142,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",227
142,143,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",Insufficient data available in last 24 hours.
143,144,Haryana,Jind,"Police Lines, Jind - HSPCB",148
